,specimen_id,feature,compartment_type,dimension,value
0,740135032,aligned_dist_from_pia,soma,none,488.95489922056464
1,606271263,aligned_dist_from_pia,soma,none,185.35510042590795
2,694146546,aligned_dist_from_pia,soma,none,363.1829539564272
3,740135032,depth_pc_0,axon,none,-591.3768052788041
4,740135032,depth_pc_1,axon,none,771.0611928161894
5,606271263,depth_pc_0,axon,none,1557.1882340570776
6,606271263,depth_pc_1,axon,none,-114.4320436027042
7,694146546,depth_pc_0,axon,none,-965.8114287782732
8,694146546,depth_pc_1,axon,none,-656.6291492134859
9,740135032,emd_with_basal_dendrite,axon,none,53.842009790570955
10,606271263,emd_with_basal_dendrite,axon,none,20.02095840833445
11,694146546,emd_with_basal_dendrite,axon,none,50.38248981181829
12,740135032,frac_above_basal_dendrite,axon,none,0.5537837260625045
13,740135032,frac_intersect_basal_dendrite,axon,none,0.4462162739374956
14,740135032,frac_below_basal_dendrite,axon,none,0.0
15,606271263,frac_above_basal_dendrite,axon,none,0.0
16,606271263,frac_intersect_basal_dendrite,axon,none,0.7648047321368555
17,606271263,frac_below_basal_dendrite,axon,none,0.23519526786314446
18,694146546,frac_above_basal_dendrite,axon,none,0.0
19,694146546,frac_intersect_basal_dendrite,axon,none,0.9692556634304207
20,694146546,frac_below_basal_dendrite,axon,none,0.030744336569579287
21,740135032,frac_above_axon,basal_dendrite,none,0.0
22,740135032,frac_intersect_axon,basal_dendrite,none,0.946916890080429
23,740135032,frac_below_axon,basal_dendrite,none,0.05308310991957105
24,606271263,frac_above_axon,basal_dendrite,none,0.37383177570093457
25,606271263,frac_intersect_axon,basal_dendrite,none,0.6261682242990654
26,606271263,frac_below_axon,basal_dendrite,none,0.0
27,694146546,frac_above_axon,basal_dendrite,none,0.47685185185185186
28,694146546,frac_intersect_axon,basal_dendrite,none,0.5231481481481481
29,694146546,frac_below_axon,basal_dendrite,none,0.0
30,740135032,extent,basal_dendrite,x,259.0984945349686
31,740135032,extent,basal_dendrite,y,360.15791867251323
32,740135032,bias,basal_dendrite,x,105.9123765215528
33,740135032,bias,basal_dendrite,y,-5.017693772805842
